"Kilmory",55.447610,-5.223390
"Kilsyth",55.976900,-4.058590
"Kincraig",57.125600,-3.925970
"Kinloch Rannoch",56.699530,-4.187490
"Kinlochewe",57.604270,-5.301240
"Kinlochleven",56.713380,-4.972850
"Kirk Yetholm",55.547350,-2.286390
"Kirkcaldy",56.114890,-3.166190
"Kirkcudbright",54.839020,-4.048340
"Kirkmichael",55.344790,-4.616400
"Kirkmichael - Perthshire",56.722300,-3.508500
"Kirkwall",58.981600,-2.954870
"Kyle of Lochalsh",57.280960,-5.720340
"Kylesku",58.254000,-5.021500
"Laggan",57.020760,-4.282990
"Lairg",58.025500,-4.400840
"Lamlash",55.532640,-5.129310
"Langholm",55.151160,-3.001800
"Largs",55.797410,-4.865900
"Leicester",52.629977,-1.133249
"Leith",55.975990,-3.163310
"Lerwick",60.151850,-1.148750
"Leuchars",56.382590,-2.887340
"Leven",56.200360,-3.003870
"Lincoln",-34.880004,-61.539949
"Linlithgow",55.975270,-3.601050
"Loch Ness",57.272400,-4.493230
"Lochinver",58.151530,-5.233510
"Lochranza",55.706300,-5.291070
"Lockerbie",55.122340,-3.359720
"London",42.969999,-81.249987
"Longniddry",55.975470,-2.901660
"Lossiemouth",57.716260,-3.295730
"Luss",56.096870,-4.646050
"Lybster",58.303880,-3.278970
"Machrie",55.558600,-5.339340
"Machrihanish",55.423110,-5.735370
"Mallaig",57.006210,-5.827170
"Manchester",53.500415,-2.247987
"Melrose",55.600890,-2.735970
"Melvich",58.554220,-3.917850
"Mey",58.637420,-3.225620
"Milngavie",55.942270,-4.325980
"Morar",56.972120,-5.820460
"Morebattle",55.517650,-2.364590
"Musselburgh",55.939390,-3.047300
"Nairn",57.580820,-3.876220
"Nethy Bridge",57.267880,-3.646710
"New Glasgow",45.583276,-62.633319
"New Haven",41.330383,-72.900005
"Newburgh, Aberdeenshire",57.317070,-2.003630
"Newcastle",-32.845348,151.815012
"Newcastleton",55.178740,-2.814530
"Newhaven",55.980930,-3.195120
"Newport-on-Tay",56.439810,-2.941730
"Newtonmore",57.063960,-4.122570
"Norfolk",42.028712,-97.433598
"North Berwick",56.056710,-2.726640
"North Fife",56.358400,-2.952570
"North Queensferry",56.009750,-3.394540
"Oban",56.415260,-5.470790
"Orphir",58.922660,-3.156210
"Oxford",51.770418,-1.249986
"Paisley",55.843050,-4.418990
"Peebles",55.653780,-3.189340
"Penicuik",55.837340,-3.225750
