St Davids,51.902160,-5.286795
Swansea,51.591200,-3.999300
Tyncornel,52.165525,-3.828126
Beverley Friary,53.839690,-0.422850
Boggle Hole,54.422785,-0.531346
Bretton,53.298809,-1.700928
Earby,53.918079,-2.130656
Grinton Lodge,54.373774,-1.927156
Hawes,54.303579,-2.203832
Haworth,53.836840,-1.942332
Helmsley,54.248285,-1.057220
Ingleton,54.155057,-2.467694
Kettlewell,54.147330,-2.046590
Leeds Carnegie Village,53.826281,-1.595369
Leeds Kirkstall Brewery,53.815434,-1.609386
Leeds Opal,53.801095,-1.564091
Leeds Queenswood,53.825371,-1.596913
Lockton,54.298660,-0.704949
Malham,54.062513,-2.152044
Mankinholes,53.708477,-2.061909
Osmotherley,54.376449,-1.291559
Scarborough,54.302293,-0.424379
Whitby,54.487423,-0.608271
York,53.968511,-1.102822
